Kategori,Pertanyaan,Jawaban
Estimasi Biaya Sebelum Layanan,Apakah ada simulasi biaya layanan yang bisa saya akses sebelumnya?,"Estimasi biaya dapat diketahui sebelum menerima layanan dengan menanyakan langsung kepada pihak administrasi klinik. Untuk biaya administrasi, pasien baru dikenakan tarif sebesar Rp15.000, sedangkan pasien lama dikenakan tarif Rp10.000."
Estimasi Biaya Sebelum Layanan,Bagaimana cara mengetahui total biaya sebelum menjalani pemeriksaan?,"Estimasi biaya dapat diketahui sebelum menerima layanan dengan menanyakan langsung kepada pihak administrasi klinik. Untuk biaya administrasi, pasien baru dikenakan tarif sebesar Rp15.000, sedangkan pasien lama dikenakan tarif Rp10.000."
Estimasi Biaya Sebelum Layanan,Apakah estimasi harga bisa saya minta melalui WhatsApp atau email?,"Estimasi biaya dapat diketahui sebelum menerima layanan dengan menanyakan langsung kepada pihak administrasi klinik. Untuk biaya administrasi, pasien baru dikenakan tarif sebesar Rp15.000, sedangkan pasien lama dikenakan tarif Rp10.000."
Diskon Kelompok Tertentu,Apakah ada potongan harga untuk lansia atau pelajar?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah klinik memberikan diskon untuk mahasiswa?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah tersedia program harga khusus bagi lanjut usia?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah tersedia tarif spesial untuk kelompok tertentu?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah ada diskon untuk peserta program kesehatan pemerintah?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah tersedia promo khusus untuk pelajar atau mahasiswa?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah tersedia harga berbeda untuk pasien dengan KTP lansia?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah klinik memberikan harga khusus untuk penyandang disabilitas?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah tersedia subsidi atau diskon dari instansi tertentu?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Diskon Kelompok Tertentu,Apakah klinik memberikan tarif prioritas untuk kelompok rentan?,"Klinik tidak menyediakan diskon khusus bagi kelompok tertentu seperti lansia, pelajar, atau kategori lainnya. Semua pasien dikenakan tarif yang sama tanpa ada pengecualian atau potongan harga khusus."
Pengembalian Dana Jika Layanan Dibatalkan,Bagaimana proses refund jika layanan tidak jadi dilakukan?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Apakah saya bisa mendapatkan uang kembali jika membatalkan jadwal?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Apakah ada kebijakan pengembalian dana di klinik ini?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Bagaimana cara klaim uang kembali bila tidak jadi konsultasi?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Apakah ada formulir khusus untuk proses pengembalian biaya?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Dalam kondisi apa saja refund bisa diajukan?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Berapa lama waktu pengembalian dana biasanya diproses?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Apakah saya bisa mengalihkan pembayaran yang sudah dilakukan?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Apakah refund hanya berlaku untuk layanan tertentu?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Pengembalian Dana Jika Layanan Dibatalkan,Siapa yang bisa saya hubungi untuk urusan pembatalan dan refund?,"Jika terjadi pembatalan layanan, pengembalian dana atau refund dapat dilakukan, tetapi harus mengikuti prosedur yang telah ditetapkan oleh klinik.
Prosedurnya meliputi:
1. Pasien atau pihak terkait harus menginput permohonan pembatalan layanan di grup khusus yang menangani proses pembatalan.
2. Tim keuangan klinik akan memberikan arahan dan meminta berita acara sebagai dokumen pendukung proses refund.
3. Setelah berita acara disiapkan dan disetujui, keuangan akan memproses pengembalian dana sesuai dengan kebijakan yang berlaku."
Biaya Konsultasi Dibayar di Muka,Apakah konsultasi harus dilunasi sebelum dimulai?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah saya harus bayar biaya dokter sebelum diperiksa?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah pembayaran konsultasi dilakukan sebelum masuk ruangan?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah biaya layanan wajib dibayar di awal?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah klinik menerapkan sistem bayar di muka untuk konsultasi?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah ada biaya pendaftaran yang langsung dibayarkan saat datang?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah semua layanan membutuhkan pembayaran terlebih dahulu?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah saya perlu melakukan pembayaran sebelum bertemu dokter?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah konsultasi bisa dibayar setelah layanan selesai?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Biaya Konsultasi Dibayar di Muka,Apakah saya boleh membayar setelah mendapatkan layanan?,"Ya, terdapat biaya administrasi yang harus dibayarkan sebelum menerima layanan. Biaya administrasi ini berlaku untuk pasien baru sebesar Rp15.000 dan untuk pasien lama sebesar Rp10.000."
Bukti Pembayaran,Apakah saya akan mendapat kwitansi setelah melakukan pembayaran?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah klinik memberikan struk resmi setelah pembayaran?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Bagaimana cara saya mendapatkan bukti pembayaran layanan?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah bukti transaksi bisa dikirim via email?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah tersedia cetak ulang bukti pembayaran di klinik?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah saya akan menerima tanda terima setelah membayar?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah semua pembayaran dicatat dalam sistem dan bisa diminta salinannya?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah bukti pembayaran bisa saya akses melalui aplikasi?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah tersedia digital receipt jika bayar dengan e-wallet?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Bukti Pembayaran,Apakah klinik menyimpan arsip transaksi saya?,"Untuk mendapatkan kwitansi atau bukti pembayaran, pasien dapat langsung memintanya kepada bagian administrasi klinik setelah melakukan pembayaran."
Cicilan Pembayaran,Apakah tersedia fasilitas cicilan untuk biaya layanan medis?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah saya bisa mencicil biaya pemeriksaan di klinik ini?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah klinik menyediakan program pembayaran bertahap?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah layanan cicilan berlaku untuk semua jenis perawatan?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Bagaimana cara mengajukan cicilan untuk layanan tertentu?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah ada minimal biaya untuk bisa menggunakan cicilan?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah pembayaran cicilan dikenakan bunga?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah klinik bekerja sama dengan penyedia cicilan seperti Kredivo?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah cicilan bisa dilakukan lewat kartu kredit?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Cicilan Pembayaran,Apakah perlu konfirmasi khusus untuk bisa menggunakan cicilan?,Klinik tidak menyediakan fasilitas cicilan untuk pembayaran layanan medis. Semua pembayaran harus dilakukan secara penuh sesuai dengan biaya layanan yang diberikan.
Biaya Tambahan Konsultasi Spesialis,Apakah ada biaya tambahan untuk konsultasi dengan dokter spesialis?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah tarif dokter spesialis berbeda dengan dokter umum?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah konsultasi spesialis dikenakan biaya lebih tinggi?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah klinik mengenakan biaya khusus untuk layanan spesialis?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah saya perlu membayar ekstra untuk dokter spesialis tertentu?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah harga konsultasi tergantung pada bidang spesialisasinya?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah ada perbedaan biaya antara spesialis anak dan spesialis penyakit dalam?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah tarif konsultasi spesialis sudah termasuk pemeriksaan dasar?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah klinik membedakan tarif antar spesialis?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Tambahan Konsultasi Spesialis,Apakah konsultasi lanjutan dengan spesialis dikenakan tarif baru?,"Klinik tidak menyediakan layanan konsultasi spesialis, sehingga tidak ada biaya tambahan yang terkait dengan konsultasi dokter spesialis. namun dapat menghubungi Laboratorium Cahaya Diagnostic Centre dengan nomor Whatsapp (081-1305-2999) atau Email (cahayagroup.customercare@gmail.com)"
Biaya Setelah Layanan,Bagaimana saya mengetahui total tagihan setelah pelayanan selesai?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah ada rincian biaya yang bisa saya minta setelah tindakan?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah saya bisa melihat detail pembayaran setelah pemeriksaan?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah klinik memberikan breakdown biaya setelah layanan?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah tagihan diberikan langsung setelah konsultasi?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah saya bisa meminta rekap biaya setelah perawatan?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah semua biaya baru dihitung setelah tindakan selesai?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah tersedia informasi tertulis soal rincian biaya pasca layanan?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah pembayaran dilakukan setelah seluruh prosedur selesai?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Biaya Setelah Layanan,Apakah saya bisa konfirmasi biaya sebelum melakukan pembayaran akhir?,"Setelah pasien menjalani pemeriksaan dan mendapatkan layanan medis, total biaya akan diinformasikan secara transparan oleh pihak administrasi sebelum pembayaran dilakukan. Jika pasien menjalani konsultasi, maka biaya konsultasi yang dikenakan adalah sebesar Rp50.000, yang akan dimasukkan dalam total tagihan. Selain itu, apabila pasien juga mendapatkan obat dari apotek klinik, maka biaya obat akan ditambahkan ke total biaya yang harus dibayarkan. Dengan demikian, pasien dapat mengetahui seluruh rincian biaya yang harus dibayarkan setelah layanan selesai diberikan."
Kebijakan Khusus untuk Pasien Berkebutuhan Finansial,Apakah klinik memiliki program bantuan untuk pasien kurang mampu?,"Klinik tidak memiliki kebijakan pembayaran khusus bagi pasien dengan kondisi finansial tertentu. Namun, pasien tetap dapat memperoleh informasi mengenai kemungkinan adanya diskon atau promo yang ditawarkan melalui media sosial Mitra Medicare. Oleh karena itu, pasien dianjurkan untuk mengikuti dan memantau informasi dari media sosial klinik secara berkala agar mengetahui apakah terdapat promo atau kebijakan khusus yang berlaku dalam periode tertentu."
Kebijakan Khusus untuk Pasien Berkebutuhan Finansial,Apakah tersedia keringanan biaya untuk pasien dengan kondisi finansial terbatas?,"Klinik tidak memiliki kebijakan pembayaran khusus bagi pasien dengan kondisi finansial tertentu. Namun, pasien tetap dapat memperoleh informasi mengenai kemungkinan adanya diskon atau promo yang ditawarkan melalui media sosial Mitra Medicare. Oleh karena itu, pasien dianjurkan untuk mengikuti dan memantau informasi dari media sosial klinik secara berkala agar mengetahui apakah terdapat promo atau kebijakan khusus yang berlaku dalam periode tertentu."
